,name,lat,long,address,city,website_1,id_tripadvisor,web,phone,review_write,ranking_str,rate,operation,rating_details,image
11,GREAT RIVER CHILDREN'S EXPLORATORIUM,45.57073,-94.16945,1126 7TH AVE N,SAINT CLOUD,NA,13384712,http://www.stcloudriversedgeconventioncenter.com,+1 320-255-7272,https://www.tripadvisor.com/UserReview-g43493-d13384712-St_Cloud_River_s_Edge_Convention_Center-Saint_Cloud_Minnesota.html?m=66827,#12 of 40 things to do in Saint Cloud,4.5,FALSE,"1: 0,2: 0,3: 0,4: 2,5: 2",
12,POLICE MUSEUM OF MINNEAPOLIS,45.00991,-93.25669,3000 MINNEHAHA AV,MINNEAPOLIS,NA,3400078,http://firehallmuseum.org/,+1 612-623-3817,https://www.tripadvisor.com/UserReview-g43323-d3400078-Firefighters_Hall_and_Museum-Minneapolis_Minnesota.html?m=66827,#93 of 463 things to do in Minneapolis,5,FALSE,"1: 0,2: 0,3: 0,4: 1,5: 6",https://media-cdn.tripadvisor.com/media/photo-f/08/18/e7/da/firefighters-hall-and.jpg
13,WALKER ART CENTER,44.96693,-93.28924,1750 HENNEPIN AVE,MINNEAPOLIS,NA,134875,http://www.walkerart.org/,+1 612-375-7600,https://www.tripadvisor.com/UserReview-g43323-d134875-Walker_Art_Center-Minneapolis_Minnesota.html?m=66827,#27 of 463 things to do in Minneapolis,4,"Monday: Closed,Tuesday: Closed,Wednesday: 10:00 - 17:00,Thursday: 10:00 - 21:00,Friday: 10:00 - 17:00,Saturday: 10:00 - 17:00,Sunday: 11:00 - 17:00","1: 28,2: 45,3: 87,4: 149,5: 209",https://media-cdn.tripadvisor.com/media/photo-f/10/8e/87/06/photo0jpg.jpg
14,MUSEUM OF QUESTIONABLE MEDICAL DEVICES,44.94343,-93.09571,120 KELLOGG BLVD W,SAINT PAUL,HTTP://WWW.MUSEUMOFQUACKERY.COM/,134891,http://www.smm.org,+1 651-221-9444,https://www.tripadvisor.com/UserReview-g43501-d134891-Science_Museum_of_Minnesota-Saint_Paul_Minnesota.html?m=66827,#6 of 232 things to do in Saint Paul,4.5,"Monday: 09:00 - 17:00,Tuesday: 09:00 - 17:00,Wednesday: 09:00 - 17:00,Thursday: 09:00 - 17:00,Friday: 09:00 - 20:00,Saturday: 09:00 - 20:00,Sunday: 09:00 - 17:00","1: 10,2: 23,3: 63,4: 242,5: 795",https://media-cdn.tripadvisor.com/media/photo-f/25/e8/2d/3d/visitors-taking-photos.jpg
15,DULUTH CHILDREN'S MUSEUM,46.75876,-92.1335,115 S 29TH AVE W,DULUTH,HTTP://WWW.DULUTHCHILDRENSMUSEUM.ORG,2339309,http://www.duluthchildrensmuseum.org,+1 218-733-7543,https://www.tripadvisor.com/UserReview-g43018-d2339309-Duluth_Children_s_Museum-Duluth_Minnesota.html?m=66827,#46 of 106 things to do in Duluth,3.5,"Monday: Closed,Tuesday: Closed,Wednesday: 09:00 - 16:00,Thursday: 09:00 - 16:00,Friday: 09:00 - 16:00,Saturday: 09:00 - 16:00,Sunday: 09:00 - 16:00","1: 4,2: 12,3: 9,4: 16,5: 15",https://media-cdn.tripadvisor.com/media/photo-f/05/b2/e6/69/duluth-children-s-museum.jpg
16,MINNESOTA MUSEUM OF AMERICAN ART,44.94645,-93.09677,408 SAINT PETER ST,SAINT PAUL,HTTP://WWW.MMAA.ORG,183818,http://www.mmaa.org,+1 651-797-2571,https://www.tripadvisor.com/UserReview-g43501-d183818-Minnesota_Museum_of_American_Art-Saint_Paul_Minnesota.html?m=66827,#90 of 232 things to do in Saint Paul,4,"Monday: Closed,Tuesday: Closed,Wednesday: 11:00 - 17:00,Thursday: 11:00 - 20:00,Friday: 11:00 - 17:00,Saturday: 11:00 - 17:00,Sunday: 11:00 - 17:00","1: 0,2: 1,3: 1,4: 1,5: 2",https://media-cdn.tripadvisor.com/media/photo-f/15/b1/0e/da/be-sure-to-note-the-architectu.jpg
17,ROCHESTER ART CENTER,43.9968,-92.42955,40 CIVIC DRIVE SE,ROCHESTER,HTTP://WWW.ROCHESTERARTCENTER.ORG,1127678,http://www.rochesterartcenter.org/,+1 507-282-8629,https://www.tripadvisor.com/UserReview-g43466-d1127678-Rochester_Art_Center-Rochester_Minnesota.html?m=66827,#34 of 97 things to do in Rochester,3.5,"Monday: Closed,Tuesday: Closed,Wednesday: 11:00 - 16:00,Thursday: 11:00 - 16:00,Friday: 11:00 - 16:00,Saturday: 11:00 - 16:00,Sunday: 11:00 - 16:00","1: 7,2: 6,3: 4,4: 10,5: 14",https://media-cdn.tripadvisor.com/media/photo-f/01/9d/b2/03/rochester-art-center.jpg
18,HENNEPIN HISTORY MUSEUM,44.96002,-93.27266,2303 3RD AVE S,MINNEAPOLIS,HTTP://WWW.HENNEPINHISTORY.ORG,2513333,http://hennepinhistory.org/,+1 612-870-1329,https://www.tripadvisor.com/UserReview-g43323-d2513333-Hennepin_History_Museum-Minneapolis_Minnesota.html?m=66827,#114 of 463 things to do in Minneapolis,4,"Monday: Closed,Tuesday: 10:00 - 14:00,Wednesday: 13:00 - 17:00,Thursday: 13:00 - 20:00,Friday: 13:00 - 17:00,Saturday: 13:00 - 17:00,Sunday: 13:00 - 17:00","1: 0,2: 2,3: 3,4: 3,5: 6",https://media-cdn.tripadvisor.com/media/photo-f/10/ec/4f/ff/building-exterior.jpg
19,NORTH COUNTRY MUSEUM OF ARTS,46.91897,-95.06313,PO BOX 328,PARK RAPIDS,NA,43411,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
20,MINNESOTA CHILDREN'S MUSEUM,44.94798,-93.09718,10 7TH ST W,SAINT PAUL,HTTP://WWW.MCM.ORG,134896,http://mcm.org/,+1 651-225-6000,https://www.tripadvisor.com/UserReview-g43501-d134896-Minnesota_Children_s_Museum-Saint_Paul_Minnesota.html?m=66827,#11 of 232 things to do in Saint Paul,4.5,"Monday: Closed,Tuesday: 09:00 - 16:00,Wednesday: 09:00 - 16:00,Thursday: 09:00 - 16:00,Friday: 09:00 - 20:00,Saturday: 09:00 - 18:00,Sunday: 09:00 - 17:00","1: 7,2: 14,3: 30,4: 80,5: 233",https://media-cdn.tripadvisor.com/media/photo-f/10/0a/73/92/exterior-of-minnesota.jpg
21,WINNEBAGO AREA MUSEUM,43.76743,-94.16567,PO BOX 595,WINNEBAGO,HTTP://WWW.WINNEBAGOAREAMUSEUM.ORG/,11547635,http://www.winnebagoareamuseum.org,+1 507-893-4660,https://www.tripadvisor.com/UserReview-g43647-d11547635-Winnebago_Area_Museum-Winnebago_Minnesota.html?m=66827,#1 of 1 things to do in Winnebago,5,"Monday: Closed,Tuesday: 09:00 - 12:00,Wednesday: 12:00 - 16:00,Thursday: 12:00 - 16:00,Friday: 12:00 - 16:00,Saturday: 10:00 - 13:00,Sunday: Closed","1: 0,2: 0,3: 0,4: 0,5: 1",
22,MINNESOTA'S MACHINERY MUSEUM,44.68817,-95.66028,PO BOX 70,HANLEY FALLS,NA,8308729,http://www.mnmachinerymuseum.com/,+1 507-768-3522,https://www.tripadvisor.com/UserReview-g43139-d8308729-Minnesota_Machinery_Museum-Hanley_Falls_Minnesota.html?m=66827,#1 of 1 things to do in Hanley Falls,5,FALSE,"1: 0,2: 0,3: 0,4: 0,5: 1",
23,LAURA INGALLS WILDER MUSEUM & TOURIST CENTER,44.2246,-95.4725,330 8TH ST,WALNUT GROVE,HTTP://WWW.WALNUTGROVE.ORG/MUSEUM.HTM,264406,http://www.walnutgrove.org/museum/,+1 800-528-7280,https://www.tripadvisor.com/UserReview-g43609-d264406-Laura_Ingalls_Wilder_Museum-Walnut_Grove_Minnesota.html?m=66827,#1 of 11 things to do in Walnut Grove,4.5,"Monday: 10:00 - 17:00,Tuesday: 10:00 - 17:00,Wednesday: 10:00 - 17:00,Thursday: 10:00 - 17:00,Friday: 10:00 - 17:00,Saturday: 10:00 - 17:00,Sunday: Closed","1: 1,2: 6,3: 24,4: 62,5: 95",https://media-cdn.tripadvisor.com/media/photo-f/13/2d/3a/2e/20180603-142222-largejpg.jpg
24,WANDA GAG HOUSE INTERPRETIVE CENTER AND MUSEUM,44.31342,-94.46508,PO BOX 432,NEW ULM,HTTP://WANDAGAGHOUSE.ORG,493341,http://wandagaghouse.org,+1 507-359-2632,https://www.tripadvisor.com/UserReview-g43366-d493341-Wanda_Gag_House-New_Ulm_Minnesota.html?m=66827,#8 of 33 things to do in New Ulm,4.5,FALSE,"1: 0,2: 0,3: 3,4: 4,5: 11",https://media-cdn.tripadvisor.com/media/photo-f/01/09/67/7e/wanda-gag-house.jpg
25,AMERICAN WINGS AIR MUSEUM,45.00705,-93.38041,9 7TH AVE N,HOPKINS,HTTP://WWW.AMERICANWINGS.ORG,3830878,http://www.miltonsvvb.com,+1 763-535-9373,https://www.tripadvisor.com/UserReview-g42986-d3830878-Milton_s_Vittles_Vino_Beer-Crystal_Minnesota.html?m=66827,#1 of 23 Places to Eat in Crystal,4.5,"Monday: Closed,Tuesday: 09:00 - 20:00,Wednesday: 09:00 - 20:00,Thursday: 09:00 - 20:00,Friday: 08:30 - 21:00,Saturday: 08:30 - 21:00,Sunday: Closed","1: 1,2: 4,3: 14,4: 57,5: 96",https://media-cdn.tripadvisor.com/media/photo-f/11/83/30/8f/fiesta-burger-and-fries.jpg
26,SOAP FACTORY,44.98334,-93.24964,514 2ND ST SE,MINNEAPOLIS,HTTP://WWW.SOAPFACTORY.ORG,541935,http://www.nelsoncheese.net,+1 651-647-1288,https://www.tripadvisor.com/UserReview-g43501-d541935-Nelson_Cheese_Factory_and_Deli-Saint_Paul_Minnesota.html?m=66827,#91 of 919 Places to Eat in Saint Paul,4.5,"Monday: 09:00 - 19:00,Tuesday: 09:00 - 19:00,Wednesday: 09:00 - 19:00,Thursday: 09:00 - 19:00,Friday: 09:00 - 19:00,Saturday: 10:00 - 18:00,Sunday: 10:00 - 18:00","1: 1,2: 0,3: 2,4: 18,5: 24",https://media-cdn.tripadvisor.com/media/photo-f/07/43/9a/61/profile-pictures.jpg
27,LAKE SUPERIOR MARITIME VISITOR CENTER,46.78005,-92.098,353 HARBOR DR,DULUTH,NA,143787,http://www.lsmma.com,+1 218-727-2497,https://www.tripadvisor.com/UserReview-g43018-d143787-Lake_Superior_Maritime_Visitor_Center-Duluth_Minnesota.html?m=66827,#7 of 106 things to do in Duluth,4.5,"Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: Closed,Friday: 10:00 - 16:30,Saturday: 10:00 - 16:30,Sunday: 10:00 - 16:30","1: 0,2: 4,3: 25,4: 193,5: 466",https://media-cdn.tripadvisor.com/media/photo-f/07/00/7d/00/lake-superior-maritime.jpg
28,GOPHER STATE RAILWAY MUSEUM,44.57938,-93.5835,PO BOX 125,NEW PRAGUE,HTTP://WWW.GSRM.ORG/HOME,27035746,http://www.gsrm.org,+1 952-758-8729,https://www.tripadvisor.com/UserReview-g43364-d27035746-Gopher_State_Railway_Museum-New_Prague_Minnesota.html?m=66827,FALSE,FALSE,FALSE,FALSE,
29,TRUMAN HISTORICAL ASSOCIATION,43.8278,-94.43592,109 W CIRO ST,TRUMAN,HTTP://TRUMANMN.US/TRUMAN-HISTORY/,27071730,https://www.facebook.com/156904441007672,+1 507-776-7889,https://www.tripadvisor.com/UserReview-g43578-d27071730-Truman_Historical_Association_Museum-Truman_Minnesota.html?m=66827,FALSE,FALSE,FALSE,FALSE,
30,MINNESOTA FISHING MUSEUM,45.97723,-94.37308,304 W BROADWAY,LITTLE FALLS,HTTP://WWW.MNFISHINGMUSEUM.COM,4695773,http://www.mnfishingmuseum.com,+1 320-616-2011,https://www.tripadvisor.com/UserReview-g43263-d4695773-Minnesota_Fishing_Museum-Little_Falls_Minnesota.html?m=66827,#3 of 20 things to do in Little Falls,4.5,"Monday: Closed,Tuesday: 10:00 - 17:00,Wednesday: 10:00 - 17:00,Thursday: 10:00 - 17:00,Friday: 10:00 - 17:00,Saturday: 10:00 - 17:00,Sunday: 12:00 - 16:00","1: 0,2: 0,3: 3,4: 7,5: 14",https://media-cdn.tripadvisor.com/media/photo-f/0f/f3/59/ab/replica-of-an-early-fishing.jpg
31,LAKES AREA CHILDREN'S MUSEUM,46.3468,-94.17339,PO BOX 181,BRAINERD,NA,21360247,http://explorebrainerdlakes.com/,+1 218-829-2838,https://www.tripadvisor.com/UserReview-g42891-d21360247-Brainerd_Lakes_Area_Welcome_Center-Brainerd_Minnesota.html?m=66827,#17 of 24 things to do in Brainerd,3,"Monday: 09:00 - 17:00,Tuesday: 09:00 - 17:00,Wednesday: 09:00 - 17:00,Thursday: 09:00 - 17:00,Friday: 09:00 - 17:00,Saturday: Closed,Sunday: Closed","1: 1,2: 0,3: 0,4: 2,5: 0",https://media-cdn.tripadvisor.com/media/photo-f/1c/3c/a7/75/welcome-center.jpg
32,DAKOTA CITY HERITAGE VILLAGE,44.61414,-93.19487,PO BOX 73,FARMINGTON,HTTP://WWW.DAKOTACITY.ORG/,26741654,FALSE,FALSE,https://www.tripadvisor.com/UserReview-g43242-d26741654-Serenity_in_the_heart_of_a_city-Lakeville_Minnesota.html?m=66827,FALSE,FALSE,FALSE,FALSE,
33,ROGER PREUSS ART MUSEUM,44.22323,-93.58444,900 LILLIAN ST,WATERVILLE,NA,27078384,https://www.facebook.com/152996221406231,+1 507-362-4968,https://www.tripadvisor.com/UserReview-g43621-d27078384-J_C_Ryan_s-Waterville_Minnesota.html?m=66827,FALSE,FALSE,FALSE,FALSE,
34,JUDY GARLAND CHILDREN'S MUSEUM,47.23038,-93.52635,PO BOX 724,GRAND RAPIDS,HTTP://WWW.JUDYGARLANDMUSEUM.COM/,102732,http://www.judygarlandmuseum.com/,+1 218-327-9276,https://www.tripadvisor.com/UserReview-g43118-d102732-Judy_Garland_Museum-Grand_Rapids_Minnesota.html?m=66827,#2 of 16 things to do in Grand Rapids,4,"Monday: 10:00 - 17:00,Tuesday: 10:00 - 17:00,Wednesday: 10:00 - 17:00,Thursday: 10:00 - 17:00,Friday: 10:00 - 17:00,Saturday: 10:00 - 17:00,Sunday: 10:00 - 17:00","1: 2,2: 1,3: 21,4: 40,5: 42",https://media-cdn.tripadvisor.com/media/photo-f/0b/95/33/2f/side-view-of-the-house.jpg
35,JAQUES ART CENTER,46.53326,-93.70957,121 2ND ST NW,AITKIN,HTTP://JAQUESART.COM,7813084,http://www.jaquesart.com,+1 218-927-2363,https://www.tripadvisor.com/UserReview-g29581-d7813084-Jaques_Art_Center-Aitkin_Minnesota.html?m=66827,#1 of 9 things to do in Aitkin,5,FALSE,"1: 0,2: 0,3: 0,4: 1,5: 11",https://media-cdn.tripadvisor.com/media/photo-f/13/21/ed/71/main-entrance.jpg
36,MINNESOTA AVIATION HISTORY AND EDUCATION CENTER,44.92858,-93.08571,PO BOX 7884,ST PAUL,NA,103905,http://www.mnhs.org/historycenter,+1 651-259-3000,https://www.tripadvisor.com/UserReview-g43501-d103905-Minnesota_History_Center-Saint_Paul_Minnesota.html?m=66827,#5 of 232 things to do in Saint Paul,4.5,"Monday: Closed,Tuesday: Closed,Wednesday: 10:00 - 16:00,Thursday: 10:00 - 16:00,Friday: 10:00 - 16:00,Saturday: 10:00 - 16:00,Sunday: 11:00 - 16:00","1: 3,2: 5,3: 18,4: 139,5: 448",https://media-cdn.tripadvisor.com/media/photo-f/05/44/28/b6/minnesota-history-center.jpg
37,HISTORY MUSEUM OF EAST OTTER TAIL COUNTY,46.59538,-95.57132,230 FIRST AVENUE NORTH,PERHAM,HTTP://WWW.HISTORYMUSEUMEOT.COM,2423264,http://www.historymuseumeot.com,+1 218-346-7676,https://www.tripadvisor.com/UserReview-g43421-d2423264-History_Museum_of_East_Otter_Tail_County-Perham_Minnesota.html?m=66827,#3 of 9 things to do in Perham,4,"Monday: Closed,Tuesday: 10:00 - 16:00,Wednesday: 10:00 - 16:00,Thursday: 10:00 - 16:00,Friday: 10:00 - 16:00,Saturday: 09:00 - 13:00,Sunday: Closed","1: 0,2: 0,3: 2,4: 0,5: 3",
38,GALLERY 96 ART CENTER,45.07467,-93.07926,PO BOX 270002,VADNAIS HEIGHTS,HTTP://WWW.GALLERY96.ORG,9753799,http://www.shoreviewcommunitycenter.com,+1 651-490-4700,https://www.tripadvisor.com/UserReview-g43523-d9753799-Shoreview_Community_Center-Shoreview_Minnesota.html?m=66827,#1 of 5 Spas &amp; Wellness in Shoreview,4,"Monday: 05:00 - 21:00,Tuesday: 05:00 - 21:00,Wednesday: 05:00 - 21:00,Thursday: 05:00 - 21:00,Friday: 05:00 - 21:00,Saturday: 06:00 - 20:00,Sunday: 06:00 - 20:00","1: 3,2: 0,3: 2,4: 4,5: 10",https://media-cdn.tripadvisor.com/media/photo-f/0a/19/db/3b/shoreview-community-center.jpg
39,LANESBORO LIVING MUSEUM OF NATURAL HISTORY,43.72058,-91.97689,PO BOX 389,LANESBORO,NA,43245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://media-cdn.tripadvisor.com/media/photo-f/14/04/a6/b8/root-river-falls.jpg
40,FORT SNEELING MILITARY MUSEUM,44.89584,-93.2006,511 CONSTITUTION AVE,FORT SNELLING,HTTP://FSMM.ORG/,4567669,http://www.mnhs.org/fortsnelling,+1 612-726-1171,https://www.tripadvisor.com/UserReview-g43501-d4567669-Historic_Fort_Snelling-Saint_Paul_Minnesota.html?m=66827,#9 of 232 things to do in Saint Paul,4.5,"Monday: Closed,Tuesday: Closed,Wednesday: 10:00 - 16:00,Thursday: 10:00 - 16:00,Friday: 10:00 - 16:00,Saturday: 10:00 - 16:00,Sunday: 10:00 - 16:00","1: 0,2: 1,3: 13,4: 71,5: 151",https://media-cdn.tripadvisor.com/media/photo-f/0a/c4/09/b1/historic-fort-snelling.jpg
41,SOO VISUAL ARTS CENTER,44.94772,-93.28944,2638 LYNDALE AVE S,MINNEAPOLIS,HTTP://WWW.SOOVAC.ORG,134875,http://www.walkerart.org/,+1 612-375-7600,https://www.tripadvisor.com/UserReview-g43323-d134875-Walker_Art_Center-Minneapolis_Minnesota.html?m=66827,#27 of 463 things to do in Minneapolis,4,"Monday: Closed,Tuesday: Closed,Wednesday: 10:00 - 17:00,Thursday: 10:00 - 21:00,Friday: 10:00 - 17:00,Saturday: 10:00 - 17:00,Sunday: 11:00 - 17:00","1: 28,2: 45,3: 87,4: 149,5: 209",https://media-cdn.tripadvisor.com/media/photo-f/10/8e/87/06/photo0jpg.jpg
42,ART POPE,45.50863,-95.31818,19078 VILLAGE SQUARE DRIVE,TERRACE,HTTP://ARTPOPE.COM/,264132,http://www.lyricarts.org,+1 763-422-1838,https://www.tripadvisor.com/UserReview-g29600-d264132-Lyric_Arts_Main_Street_Stage-Anoka_Minnesota.html?m=66827,#1 of 2 Fun &amp; Games in Anoka,4.5,"Monday: 10:00 - 17:00,Tuesday: 10:00 - 17:00,Wednesday: 10:00 - 17:00,Thursday: 10:00 - 17:00,Friday: 10:00 - 17:00,Saturday: Closed,Sunday: Closed","1: 0,2: 0,3: 3,4: 12,5: 53",https://media-cdn.tripadvisor.com/media/photo-f/0a/b5/cf/73/photo0jpg.jpg
43,AFRICAN AMERICAN HISTORICAL & CIVIL RIGHTS MUSEUM,44.99789,-93.29541,PO BOX 11302,MINNEAPOLIS,HTTP://WWW.MAAMCC.ORG/ABOUT-US/INDEX.PHP,16724430,FALSE,FALSE,https://www.tripadvisor.com/UserReview-g43323-d16724430-Minnesota_African_American_Heritage_Museum-Minneapolis_Minnesota.html?m=66827,FALSE,FALSE,FALSE,FALSE,https://media-cdn.tripadvisor.com/media/photo-f/2a/64/31/7b/history-of-african-americans.jpg
44,HISTORICAL AND CULTURAL SOCIETY OF CLAY COUNTY,46.87717,-96.77745,202 1ST AVE N,MOORHEAD,NA,272289,http://www.hcscconline.org/,+1 218-299-5511,https://www.tripadvisor.com/UserReview-g43335-d272289-Historical_and_Cultural_Society_of_Clay_County-Moorhead_Minnesota.html?m=66827,#1 of 30 things to do in Moorhead,4.5,"Monday: 12:00 - 17:00,Tuesday: 12:00 - 17:00,Wednesday: 12:00 - 17:00,Thursday: 12:00 - 17:00,Friday: 12:00 - 17:00,Saturday: 12:00 - 17:00,Sunday: 12:00 - 17:00","1: 0,2: 1,3: 16,4: 75,5: 139",https://media-cdn.tripadvisor.com/media/photo-f/1c/01/4d/d9/an-exterior-bird-s-eye.jpg
45,WINONA ARTS CENTER,44.0492,-91.63274,228 E 5TH ST,WINONA,HTTP://WWW.WINONAARTS.ORG,27079936,https://www.facebook.com/117724814169,+1 507-453-9959,https://www.tripadvisor.com/UserReview-g43648-d27079936-Winona_Arts_Center-Winona_Minnesota.html?m=66827,FALSE,FALSE,FALSE,FALSE,
