DISCIPLINE,COMMONNAME,LEGALNAME,ADSTREET,ADCITY,ADSTATE,ADZIP5,WEBURL,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4
GMU,CHESTER INN MUSEUM,CHESTER INN MUSEUM,116 MAIN ST,JONESBOROUGH,TN,37659,NA,-82.47407,36.29402,3,5,2
GMU,COKE OVEN MUSEUM,COKE OVEN MUSEUM,350 MOUNTAIN VIEW RD,DUNLAP,TN,37327,HTTP://COKEOVENS.COM/SITE/,-85.39961,35.3791,3,5,4
GMU,CRAGFONT MUSEUM HOUSE,CRAGFONT MUSEUM HOUSE,300 CRAGFONT RD,GALLATIN,TN,37066,NA,-86.45967,36.3803,3,5,2
GMU,CROCKETT TAVERN MUSEUM,CROCKETT TAVERN MUSEUM,2106 MORNINGSIDE DR,MORRISTOWN,TN,37814,HTTP://WWW.CROCKETTTAVERNMUSEUM.ORG,-83.26875,36.221,3,5,1
GMU,ENGLEWOOD TEXTILE MUSEUM,ENGLEWOOD TEXTILE MUSEUM,109 N NIOTA RD,ENGLEWOOD,TN,37329,HTTP://TENNESSEEOVERHILL.COM/ENGLEWOOD-TEXTILE-MUSEUM/,-84.48787,35.43014,3,5,4
GMU,CORDELL HULL BIRTHPLACE & MUSEUM,CORDELL HULL BIRTHPLACE & MUSEUM,1300 CORDELL HILL MEMORIAL DRIVE,BYRDSTOWN,TN,38549,NA,-85.18081,36.58018,3,5,4
GMU,DISCOVERY MUSEUM OF WEST TENNESSEE,DISCOVERY MUSEUM OF WEST TN,315 E LAFAYETTE ST,JACKSON,TN,38301,HTTP://WTNDISCOVERY.ORG,-88.81702,35.61519,3,5,1
GMU,COAL MINERS DAUGHTER MUSEUM,COAL MINERS DAUGHTERS,44 HURRICANE MILLS RD,HURRICANE MILLS,TN,37078,NA,-105.47928,44.30118,5,7,3
GMU,COOKEVILLE DEPOT MUSEUM,COOKEVILLE DEPOT MUSEUM,116 N CEDAR AVE,COOKEVILLE,TN,38501,HTTP://WWW.COOKEVILLEDEPOT.COM/,-85.50945,36.16458,3,5,3
GMU,EAST RIDGE HISTORY AND ARCHIVE,EAST RIDGE HISTORY AND ARCHIVE,1510 TOMBRAS AVE,CHATTANOOGA,TN,37412,HTTP://WWW.EASTRIDGETN.ORG,-85.24118,34.99456,3,5,2
GMU,DINOSAUR WALK MUSEUM,DINOSAUR WALK MUSEUM,106 SHOWPLACE BLVD,PIGEON FORGE,TN,37863,HTTP://WWW.DINOSAURWALKMUSEUM.COM,-83.57788,35.81555,3,5,3
GMU,CHATTANOOGA REGIONAL HISTORY,CHATTANOOGA REGIONAL HISTORY,400 CHESTNUT ST,CHATTANOOGA,TN,37402,NA,-85.31122,35.05111,3,5,1
GMU,BUFORD PUSSER HOME AND MUSEUM,BUFORD PUSSER HOME AND MUSEUM,342 PUSSER ST,ADAMSVILLE,TN,38310,HTTP://WWW.BUFORDPUSSERMUSEUM.COM,-88.38374,35.23181,3,5,4
GMU,AMERICAN INSTITUTE-ARCHITECTS,AMERICAN INSTITUTE-ARCHITECTS,209 10TH AVE S,NASHVILLE,TN,37203,NA,-86.78277,36.15592,3,5,1
GMU,BEECHCRAFT HERITAGE MUSEUM,BEECH CREEK MARSH CREEK WATERSHED HERITAGE MUSEUM,570 OLD SHELBYVILLE HWY,TULLAHOMA,TN,37388,HTTP://WWW.BEECHCRAFTHERITAGEMUSEUM.ORG,-77.57917,41.09528,2,2,4
GMU,BUTLER MUSEUM,BUTLER MUSEUM,123 SELMA CURTIS RD,BUTLER,TN,37640,NA,-81.98171,36.33878,3,5,4
GMU,CARROLL REECE MUSEUM,CARROLL REECE MUSEUM,EAST TENNESSEE STATE UNIVERSITY,JOHNSON CITY,TN,37614,NA,-82.36312,36.30446,3,5,1
GMU,BEECH RIVER HERITAGE MUSEUM,BEECH RIVER HERITAGE MUSEUM,26 S BROAD ST,LEXINGTON,TN,38351,NA,-88.39356,35.65081,3,5,3
GMU,ALEX HALEY HOUSE MUSEUM,ALEX HALEY HOUSE MUSEUM,200 S CHURCH ST,HENNING,TN,38041,HTTP://WWW.ALEXHALEYMUSEUM.ORG,-89.57917,35.6723,3,5,3
GMU,BEMIS MILL VILLAGE MUSEUM,BEMIS MILL VILLAGE MUSEUM,2 N MISSOURI ST,JACKSON,TN,38301,HTTP://BEMISHISTORY.ORG/,-88.82127,35.57628,3,5,1
GMU,ATHENAEUM RECTORY,ATHENAEUM RECTORY,808 ATHENAEUM STREET,COLUMBIA,TN,38401,HTTP://WWW.ATHENAEUMRECTORY.COM,-87.04093,35.61422,3,5,3
GMU,TENNESSEE HISTORY FOR KIDS,TENNESSEE HISTORY FOR KIDS INC,6682 CLEARBROOK DR,NASHVILLE,TN,37201,NA,-86.89586,36.08932,3,5,1
GMU,TUNNEL HILL MUSEUM AND MODEL RAILROAD CLUB,TUNNEL HILL MUSEUM AND MODEL RAILROAD CLUB,1265 COLUMBIA AVE,FRANKLIN,TN,37064,NA,-86.87304,35.91744,3,5,1
GMU,MUSEUM OF AVIATORS,MUSEUM OF AVIATORS INC,101 ALBRIGHT LANE,GALLATIN,TN,37066,NA,-86.40304,36.37588,3,5,4
GMU,LANE MOTOR MUSEUM,LANE MOTOR MUSEUM,702 MURFREESBORO PIKE,NASHVILLE,TN,37210,HTTP://WWW.LANEMOTORMUSEUM.ORG,-86.73421,36.13955,3,5,1
GMU,JAMES D VAUGHAN REAL ESTATE TRUST,JAMES D VAUGHAN REAL ESTATE TRUSTINCORPORATED,PO BOX 692,LAWRENCEBURG,TN,38464,NA,-87.46998,35.32431,3,5,4
GMU,DISCOVERY PARK OF AMERICA,DISCOVERY PARK OF AMERICA INC,624 E REELFOOT AVE,UNION CITY,TN,38261,HTTP://WWW.DISCOVERYPARKOFAMERICA.COM,-89.06923,36.45187,3,5,4
GMU,COOPERTOWN COMMISSION FOR CULTURE HISTORY AND ART,COOPERTOWN COMMISSION FOR CULTURE HISTORY AND ART,2525 BURGESS GOWER RD,SPRINGFIELD,TN,37172,HTTP://WWW.COOPERTOWNTN.ORG/,-86.97802,36.44481,3,5,4
GMU,MUSEUM OF THE CHEROKEE INDIAN,FRIENDS OF SEQUOYAH,PO BOX 69,VONORE,TN,37885,NA,-84.18483,35.5585,3,5,4
GMU,MUSEUM OF FLIGHT HIXSON,MUSEUM OF FLIGHT HIXSON,1824 E CRABTREE ROAD,HIXSON,TN,37343,HTTP://WWW.HIXSONFLIGHTMUSEUM.ORG,-85.17265,35.19075,3,5,2
GMU,TENNESSEE JOURNALISM HALL OF FAME,TENNESSEE JOURNALISM HALL OF FAME COMMITTEE,TJHOF BOX 202,LASCASSAS,TN,37085,HTTP://WWW.TNJOURNALISMHOF.ORG/,-86.28458,35.94911,3,5,4
GMU,ALADDIN MUSEUM OF LIGHT,ALADDIN MUSEUM OF LIGHT,681 INTERNATIONAL BLVD,CLARKSVILLE,TN,37040,NA,-87.25598,36.58913,3,5,4
GMU,CUMMINGSTOWN MEMORIAL MUSEUM AND PARK,CUMMINGSTOWN MEMORIAL MUSEUM AND PARK,PO BOX 341,PIKEVILLE,TN,37367,NA,-85.20866,35.62898,3,5,4
GMU,AFRICAN AMERICAN MUSEUM MEMORIAL,AFRICAN AMERICAN MUSEUM MEMORIAL,5117 WHITE LAKE CV,MEMPHIS,TN,38125,NA,-89.81936,35.00962,3,5,2
GMU,TENNESSEE CIVIL WAR MUSEUM,TENNESSEE CIVIL WAR MUSEUM,3914 SAINT ELMO AVE,CHATTANOOGA,TN,37409,NA,-85.32819,35.01013,3,5,1
GMU,BLOUNT COUNTY SPORTS HALL OF FAME,BLOUNT COUNTY SPORTS HALL OF FAME,316 S EVERETT HIGH RD,MARYVILLE,TN,37804,NA,-83.9556,35.767,3,5,2
GMU,GREATER CHATTANOOGA SPORTS HALL OF FAME,GREATER CHATTANOOGA SPORTS HALL OF FAME INC,PO BOX 17028,CHATTANOOGA,TN,37415,HTTP://WWW.CHATTHALLOFFAME.ORG/,-85.28419,35.11689,3,5,2
GMU,INTERNATIONAL TOWING AND RECOVERY HALL OF FAME AND MUSEUM,INTERNATIONAL TOWING AND RECOVERY HALL OF FAME AND MUSEUM,3315 BROAD ST,CHATTANOOGA,TN,37408,NA,-85.32328,35.01693,3,5,1
GMU,TENNESSEE WALKING HORSE NATIONAL MUSEUM,TENNESSEE WALKING HORSE NATIONAL MUSEUM INC,27 MAIN ST,WARTRACE,TN,37183,NA,-86.30033,35.50946,3,5,4
GMU,TANASI ARTS AND HERITAGE CENTER,TANASI ARTS AND HERITAGE CENTER OF NORTHEAST TENNESSEE,PO BOX 39,UNICOI,TN,37692,HTTP://WWW.TANASIARTS.ORG/,-82.31854,36.20332,3,5,4
GMU,SOUTHERN APPALACHIAN RADIO MUSEUM,SOUTHERN APPALACHIAN RADIO MUSEUM INC,360 LOVES LANE,GREENEVILLE,TN,37743,NA,-82.53192,35.54447,3,5,1
GMU,MITCHELL MUSEUM,TULLAHOMA SOUTH JACKSON CIVIC ASSOCIATION INC,PO BOX 326,TULLAHOMA,TN,37388,HTTP://WWW.SOUTHJACKSON.ORG/,-86.20725,35.35693,3,5,3
GMU,DIBRELL MEMORIAL MUSEUM,DIBRELL MEMORIAL MUSEUM INCORPORATED,RT 4,MCMINNVILLE,TN,37110,NA,-85.79255,35.69285,3,5,3
GMU,NEWPORT COCKE COUNTY MUSEUM,NEWPORT COCKE COUNTY MUSEUM INC,1501 GOLF COURSE RD,NEWPORT,TN,37821,NA,-83.19799,35.93026,3,5,3
GMU,MEMPHIS TRANSPORTATION MUSEUM,MEMPHIS TRANSPORTATION MUSEUM,2235 DONELSON DRIVE HICKORY WITHE,EADS,TN,38028,HTTP://MRTM.ORG,-89.63337,35.19249,3,5,4
GMU,TENNESSEE NEWSPAPER & PRINTING MUSEUM,THE HERITAGE ASSOCIATION OF ROGERSVILLE,415 S DEPOT ST,ROGERSVILLE,TN,37857,NA,-83.00518,36.40395,3,5,3
GMU,INTERNATIONAL GOSPEL MUSIC HALL OF FAME RESEARCH LIBRARY & MUSEUM,INTERNATIONAL GOSPEL MUSIC HALL OF FAME RESEARCH LIBRARY & MUSEUM,1205 DIVISION ST,NASHVILLE,TN,37203,NA,-86.78453,36.151,3,5,1
GMU,OBION COUNTY MUSEUM,OBION COUNTY MUSEUM INC,PO BOX 323,UNION CITY,TN,38281,HTTP://WWW.OCMUSEUM.COM,-89.04726,36.41754,3,5,3
GMU,NATIONAL MEDAL OF HONOR MUSEUM,MEDAL OF HONOR HALL OF VALOR MUSEUM OF MILITARY HISTORY FOU,PO BOX 11467,CHATTANOOGA,TN,37401,HTTP://WWW.MOHM.ORG/,-85.28419,35.11689,3,5,2
GMU,COFFEE CO MANCHESTER TULLAHOMA MUSEUM,COFFEE CO MANCHESTER TULLAHOMA MUSEUM INC,24 CAMPGROUND RD,MANCHESTER,TN,37355,NA,-86.05116,35.4588,3,5,4
GMU,TENNESSEE RIVER MUSEUM,TENNESSEE RIVER MUSEUM,30 FAIRGROUND ST,SAVANNAH,TN,38372,HTTP://WWW.TENNESSEERIVERMUSEUM.ORG,-88.25171,35.22514,3,5,3
GMU,MT PLEASANT MAURY MUSEUM OF LOCAL HISTORY,MT PLEASANT MAURY MUSEUM OF LOCAL HISTORY,108 PUBLIC SQUARE,MOUNT PLEASANT,TN,38474,NA,-87.20757,35.53407,3,5,3
GMU,OMNI CHURCH MUSEUM ASSOCIATION,OMNI CHURCH MUSEUM ASSOC,PO BOX 89,MEMPHIS,TN,38101,NA,-90.05473,35.13217,3,5,1
GMU,WATKINS INSTITUTE,WATKINS INSTITUTE,100 POWELL PL,NASHVILLE,TN,37204,NA,-86.80415,36.1934,3,5,1
GMU,ABRAHAM LINCOLN LIBRARY AND MUSEUM,LINCOLN MEMORIAL UNIVERSITY,6965 CUMBERLAND GAP PARKWAY,HARROGATE,TN,37752,NA,-83.65511,36.57678,3,5,3
GMU,TENNESSEE VALLEY RAILROAD MUSEUM,TENNESSEE VALLEY RAILROAD MUSEUM INC,4119 CROMWELL RD,CHATTANOOGA,TN,37421,HTTP://WWW.TVRAIL.COM,-85.20433,35.0673,3,5,1
GMU,PARTHENON,THE PARTHENON,METRO POSTAL SERVICE,NASHVILLE,TN,37219,HTTP://WWW.NASHVILLE.GOV/PARKS-AND-RECREATION/PARTHENON.ASPX,-86.80926,36.14663,3,5,1
GMU,COUNTRY MUSIC FOUNDATION,COUNTRY MUSIC FOUNDATION INC,222 5TH AVE S,NASHVILLE,TN,37203,HTTP://COUNTRYMUSICHALLOFFAME.ORG/,-86.776840000000007,36.15821,3,5,1
GMU,MEMPHIS PINK PALACE MUSEUM,MEMPHIS MUSEUMS INC,3050 CENTRAL AVE,MEMPHIS,TN,38111,HTTP://WWW.MEMPHISMUSEUMS.ORG/,-89.96018,35.12365,3,5,1
GMU,CENTER FOR SOUTHERN FOLKLORE,CENTER FOR SOUTHERN FOLKLORE,119 S MAIN ST,MEMPHIS,TN,38103,NA,-90.05425,35.14187,3,5,1
GMU,STAGGERWING MUSEUM FOUNDATION,STAGGERWING MUSEUM FOUNDATION INC,PO BOX 550,TULLAHOMA,TN,37388,HTTP://WWW.BEECHCRAFTHERITAGEMUSEUM.ORG/,-86.24586,35.36942,3,5,4
GMU,SWIFT MUSEUM FOUNDATION,SWIFT MUSEUM FOUNDATION INC,PO BOX 644,ATHENS,TN,37371,HTTP://SWIFTMUSEUMFOUNDATION.ORG/,-84.59233,35.4393,3,5,3
GMU,INTER-MUSEUM COUNCIL OF NASHVILLE,INTER-MUSEUM COUNCIL OF NASHVILLEINC,PO BOX 23967,NASHVILLE,TN,37202,NA,-86.78337,36.15824,3,5,1
GMU,COWAN RAILROAD MUSEUM,COWAN RAILROAD MUSEUM INC,PO BOX 53,COWAN,TN,37398,HTTP://COWANRAILROADMUSEUM.ORG/,-86.01079,35.164,3,5,4
GMU,WEST TENNESSEE AGRICULTURAL MUSEUM ASSOCIATION,WEST TENNESSEE AGRICULTURAL MUSEUM ASSOCIATION,158 MEDINA HWY,MILAN,TN,38358,HTTP://TNAGMUSEUM.ORG,-88.74584,35.86917,3,5,4
GMU,MILITARY MEMORIAL MUSEUM OF UPPER CUMBERLAND,MILITARY MEMORIAL MUSEUM OF UPPER CUMBERLAND,20 SOUTH MAIN STREET,CROSSVILLE,TN,38555,NA,-85.02629,35.94784,3,5,3
GMU,LINCOLN COUNTY MUSEUM,LINCOLN COUNTY MUSEUM ASSOCIATION,PO BOX 54,FAYETTEVILLE,TN,37334,NA,-86.57112,35.14951,3,5,3
GMU,BESSIE SMITH HALL & CULTURAL CENTER,BESSIE SMITH CULTURAL CENTER AFRICAN AMERICAN MUSEUM &,PO BOX 11493,CHATTANOOGA,TN,37401,HTTP://WWW.BESSIESMITHCC.ORG/,-85.3069,35.04516,3,5,1
GMU,NATHANAEL GREENE MUSEUM,NATHANAEL GREENE MUSEUM INC,101 W MCKEE ST,GREENEVILLE,TN,37743,HTTP://WWW.GREENEVILLEGREENECOUNTYHISTORYMUSEUM.COM/,-82.83265,36.16052,3,5,3
GMU,TENNESSEE MUSEUM OF MILIT,TENNESSEE MUSEUM OF MILIT,9950 HOUSTON LEVEE CV,MEMPHIS,TN,38139,HTTP://WWW.TNMUSEUM.ORG,-89.76234,35.0877,3,5,2
GMU,CLAY COUNTY MUSEUM,CLAY COUNTY MUSEUM INC,PO BOX 684,CELINA,TN,38551,NA,-85.49141,36.54563,3,5,4
GMU,PARIS-HENRY COUNTY HERITAGE CENTER,PARIS-HENRY COUNTY HERITAGE CENTER,PO BOX 822,PARIS,TN,38242,HTTP://WWW.PHCHC.COM/,-88.32532,36.3075,3,5,3
GMU,MUSEUM OF AMERICAN MILITARY ARTIFACTS,MUSEUM OF AMERICAN MILITARY ARTIFACTS,1314 KNOX VALLEY DRIVE,BRENTWOOD,TN,37027,HTTP://WWW.MOTAME.ORG/,-86.78472,36.03654,3,5,1
GMU,MAURY COUNTY MUSEUM FOR HORSE & MULE DRAWN FARM EQUIP & REL,EDUCATION ANALYSIS OF MAURY COUNTY,3097 BUTLER RD,COLUMBIA,TN,38401,NA,-87.00019,35.72065,3,5,4
GMU,FIRE DEPARTMENT MUSEUM OF MEMPHIS,FIRE DEPARTMENT MUSEUM OF MEMPHIS INC,118 ADAMS AVE,MEMPHIS,TN,38103,HTTP://WWW.FIREMUSEUM.COM,-90.0512,35.14799,3,5,1
GMU,SEVIER COUNTY HERITAGE MUSEUM,SEVIER COUNTY HERITAGE MUSEUM,167 BRUCE ST,SEVIERVILLE,TN,37862,HTTP://WWW.TNVACATION.COM,-83.56328,35.86664,3,5,3
GMU,HARMONY SCHOOL,HARMONY SCHOOL INC,2208 MAIN STREET,ALTAMONT,TN,37301,NA,-85.71114,35.43889,3,5,4
GMU,TENNESSEE MUSEUM OF FLIGHT,TENNESSEE MUSEUM OF FLIGHT INC,3200 PRIDE RD,LOUISVILLE,TN,37777,NA,-84.07834,35.84077,3,5,4
GMU,MEMPHIS ROCK-N-SOUL,MEMPHIS ROCK-N-SOUL INC,191 BEALE ST 100 PLZ OF FEDX,MEMPHIS,TN,38103,HTTP://WWW.MEMPHISROCKNSOUL.ORG,-90.05008,35.14889,3,5,1
GMU,FRIST CENTER FOR THE VISUAL ARTS,FRIST CENTER FOR THE VISUAL ARTS IN C,209 TENTH AVENUE SOUTHS,NASHVILLE,TN,37203,HTTP://FRISTCENTER.ORG/,-86.78352,36.15818,3,5,1
GMU,AMERICAN AIR COMBAT MUSEUM,AMERICAN AIR COMBAT MUSEUM,611 AIRPORT RD,MOUNTAIN CITY,TN,37683,NA,NA,NA,3,5,NA
GMU,TENNESSEE CENTRAL RAILWAY MUSEUM,TENNESSEE CENTRAL RLWY MUSEUM,220 WILLOW ST,NASHVILLE,TN,37210,HTTP://WWW.TCRY.ORG,-86.75404,36.15489,3,5,1
GMU,TRI-STATE EXHIBITION CENTER,TRI-STATE EXHIBITION CENTER,PO BOX 1371,CLEVELAND,TN,37364,HTTP://WWW.TRISTATEEXHIBITIONCENTER.COM/,-84.96946,35.17679,3,5,4
GMU,COTTON MUSEUM OF THE SOUTH CARE OF JOHN FREEMAN,COTTON MUSEUM OF THE SOUTH,528 JOHNSONS GROVE ROAD,BELLS,TN,38006,NA,-89.10548,35.74276,3,5,4
GMU,BRISTOL HERITAGE COLLECTION,BRISTOL HERITAGE COLLECTION,210 CLUB PKWY,NASHVILLE,TN,37221,NA,-86.92925,36.07411,3,5,1
GMU,COTTON MUSEUM,COTTON MUSEUM INC,65 UNION AVE,MEMPHIS,TN,38103,NA,-90.05473,35.14338,3,5,1
GMU,INTERNATIONAL ROCK-A-BILLY HALL OF FAME,INTERNATIONAL ROCK-A-BILLY HALL OF FAME INC,314 EDENWOOD DR,JACKSON,TN,38301,HTTP://WWW.ROCKABILLYHALL.ORG,-88.8173,35.61432,3,5,1
GMU,WONDERS EXHIBITION,WONDERS EXHIBITION,PO BOX 3371,MEMPHIS,TN,38173,NA,-90.05396,35.14132,3,5,1
GMU,FENTRESS COUNTY MUSEUM,FENTRESS COUNTY MUSEUM,PO BOX 1214,JAMESTOWN,TN,38556,NA,-85.02086,36.42601,3,5,4
GMU,TENNESSEE MUSEUM OF AVIATION & HALL OF FAME,TENNESSEE MUSEUM OF AVIATION,PO BOX 5587,SEVIERVILLE,TN,37864,NA,-83.53653,35.86356,3,5,3
GMU,TSSAA HALL OF CHAMPIONS,TSSAA HALL OF CHAMPIONS INC,PO BOX 319,HERMITAGE,TN,37076,NA,-86.60048,36.18356,3,5,1
GMU,SMITH COUNTY MUSEUM,SMITH COUNTY MUSEUM,PO BOX 73,CARTHAGE,TN,37030,HTTP://WWW.SMITHCOUNTYHERITAGEMUSEUM.ORG/,-85.95137,36.25197,3,5,3
GMU,MEMPHIS AMATEUR SPORTS HALL OF FAME,MEMPHIS AMATEUR SPORTS HALL OF FAME INC,5951 LAKE TIDE CV,MEMPHIS,TN,38120,NA,-89.77732,35.1694,3,5,1
GMU,OLD SMOKY RAILWAY MUSEUM,OLD SMOKY RAILWAY MUSEUM INC,PO BOX 601,KNOXVILLE,TN,37901,NA,-83.91842,35.96101,3,5,1
GMU,HAMBLEN MUSEUM OF GLASS & ANTIQUES,HAMBLEN MUSEUM OF GLASS &,501 PARK AVE STE B,LEBANON,TN,37087,NA,-86.28205,36.20383,3,5,3
GMU,FARISH STREET BLUES MUSEUM,FARISH STREET BLUES MUSEUM INC,6600 ORMOND DRIVE,NASHVILLE,TN,37205,NA,-86.9014,36.09348,3,5,1
GMU,CHEATHAM COUNTY MUSEUM,CHEATHAM COUNTY MUSEUM INC,PO BOX 703,ASHLAND CITY,TN,37015,NA,-87.06125,36.28812,3,5,4
GMU,GERMANTOWN MUSEUM,GERMANTOWN MUSEUM,7430 MIMOSA DR,GERMANTOWN,TN,38138,HTTP://GERMANTOWNMUSEUM.ORG/,-89.79721,35.08157,3,5,2
GMU,WINDMILL AND FRENCH MUSEUM,WINDMILL AND FRENCH MUSEUM,1500 BOSTON AVE,NEDERLAND,TX,77627,NA,-93.99331,29.97363,5,6,2
GMU,WISE COUNTY HERITAGE MUSEUM,WISE COUNTY HERITAGE MUSEUM,1602 S TRINITY ST,DECATUR,TX,76234,HTTP://WWW.WISEHISTORY.COM,-97.58621,33.24642,5,6,4
GMU,WHARTON COUNTY MUSEUM,WHARTON COUNTY MUSEUM,3615 N RICHMOND RD,WHARTON,TX,77488,HTTP://WWW.WHARTONCOUNTYMUSEUM.ORG,-96.09043,29.34466,5,6,4
GMU,WILLS POINT DEPOT MUSEUM,WILLS POINT DEPOT MUSEUM,210 W SOUTH COMMERCE ST,WILLS POINT,TX,75169,NA,-96.00997,32.70768,5,6,3
GMU,WESLACO BICULTURAL MUSEUM,WESLACO BICULTURAL MUSEUM GUILD,515 S KANSAS AVE,WESLACO,TX,78596,HTTP://WWW.WESLACOMUSEUM.ORG,-97.9907,26.15576,5,6,4
GMU,U.S. VETERANS MUSEUM,US VETERANS MUSEUM,601 THORPE SPRINGS RD,GRANBURY,TX,76048,HTTP://WWW.USVETERANSMUSEUM.COM,-97.79054,32.44798,5,6,4
GMU,XIT MUSEUM,DALLAM-HARTLEY COUNTIES HISTORICAL ASSOCIATION,108 E 5TH ST,DALHART,TX,79022,HTTP://WWW.XITMUSEUM.COM/,-102.53126,36.07315,5,6,4
GMU,VEREINS KIRCHE MUSEUM,VEREINS KIRCHE MUSEUM,112 W MAIN ST,FREDERICKSBURG,TX,78624,NA,-98.87233,30.27525,5,6,4
GMU,WK GORDON CENTER-INDL HISTORY-TX,WK GORDON CENTER-INDL HISTORY-TX,652581 IH 20,MINGUS,TX,76463,HTTP://WWW.TARLETON.EDU/GORDONCENTER/,-98.4221,32.53004,5,6,4
GMU,WILDERNESS PARK MUSEUM,WILDERNESS PARK MUSEUM,2 CIVIC CENTER PLAZA,EL PASO,TX,79901,HTTP://ARCHAEOLOGY.ELPASOTEXAS.GOV/,-106.49074,31.75823,5,6,1
GMU,VILLA FINALE,VILLA FINALE,122 MADISON STREET,SAN ANTONIO,TX,78204,NA,-98.49404,29.41372,5,6,2
GMU,WHITE DEER LAND MUSEUM,WHITE DEER LAND MUSEUM FOUNDATION,116 S CUYLER ST,PAMPA,TX,79065,HTTP://WWW.PAMPAMUSEUM.ORG/,-100.96191,35.59407,5,6,4
GMU,WINGS TO DISCOVERY,WINGS TO DISCOVERY,601 MIKE MAROS ST,FABENS,TX,79838,NA,-106.15427,31.4962,5,6,3
GMU,WHITE ROCK LAKE SPILLWAY,WHITE ROCK LAKE SPILLWAY,8300 GARLAND RD,DALLAS,TX,75218,NA,-96.71891,32.81806,5,6,1
GMU,U.S. ARMY MEDICAL MUSEUM,US ARMY MEDICAL MUSEUM,2310 STANLEY RD,FORT SAM HOUSTON,TX,78234,HTTP://AMEDDMUSEUM.AMEDD.ARMY.MIL/,-98.45134,29.45163,5,6,1
GMU,SPANISH GOVERNOR'S PALACE,SPANISH GOVERNOR'S PALACE,105 PLAZA DE ARMAS,SAN ANTONIO,TX,78205,HTTP://WWW.SANANTONIO.GOV/HOME/ERROR.ASPX?ASPXERRORPATH=/DTOPS/PARKS_PLAZAS/GOVERNORSPALACE.ASPX,-98.49564,29.42491,5,6,1
GMU,TEXAS AND MILITARY MEMORIES,TEXAS AND MILITARY MEMORIES,2180 REESE ST,LACKLAND AFB,TX,78236,NA,-98.61085,29.38119,5,6,2
GMU,STOCKYARDS MUSEUM,STOCKYARDS MUSEUM,131 E EXCHANGE AVE,FORT WORTH,TX,76164,HTTP://WWW.STOCKYARDSMUSEUM.ORG,-97.34859,32.78898,5,6,1
GMU,TOMBALL MUSEUM CENTER,TOMBALL MUSEUM CENTER,510 N PINE ST,TOMBALL,TX,77375,HTTP://TOMBALLMUSEUMCENTER.ORG,-95.61979,30.09932,5,6,2
GMU,TEXAS MUSICIANS MUSEUM,TEXAS MUSICIANS MUSEUM,100 N COLLEGE ST,WAXAHACHIE,TX,75165,HTTP://TEXASMUSICIANSMUSEUM.COM,-96.74441,32.9136,5,6,1
GMU,STERN-HOYA MUSEUM & LIBRARY,STERN-HOYA MUSEUM & LIBRARY,PO BOX 635030,NACOGDOCHES,TX,75963,HTTP://WWW.CI.NACOGDOCHES.TX.US/INDEX.ASPX?NID=696,-94.63732,31.63209,5,6,4
GMU,TRINITY COUNTY MUSEUM,TRINITY COUNTY MUSEUM,450 W 1ST ST,GROVETON,TX,75845,HTTP://WWW.TRINITYMUSEUM.ORG,-95.12263,31.05334,5,6,4
GMU,INSTITUTE OF TEXAN CULTURES,INSTITUTE OF TEXAN CULTURES,801 SOUTH BOWIE,SAN ANTONIO,TX,78205,HTTP://WWW.AMERICANEAGLE.COM/,-98.49023,29.42583,5,6,1
GMU,TAHOKA PIONEER MUSEUM,TAHOKA PIONEER MUSEUM,1600 W LOCKWOOD,TAHOKA,TX,79373,NA,-101.82449,33.18912,5,6,4
GMU,SWISHER COUNTY MUSEUM,SWISHER COUNTY MUSEUM,127 SW 2ND ST,TULIA,TX,79088,HTTP://WWW.SWISHERCOUNTYMUSEUM.ORG,-101.76481,34.53591,5,6,4
GMU,TEXAS MUSEUM OF AUTOMOTIVE HISTORY,TEXAS MUSEUM OF AUTOMOTIVE HISTORY,3550 GRAND AVE,DALLAS,TX,75210,NA,-96.76298,32.77926,5,6,1
GMU,TELEPHONE MUSEUM,TELEPHONE MUSEUM,1714 ASHLAND ST,HOUSTON,TX,77008,HTTP://HOUSTONTELEPHONEMUSEUM.COM,-95.40348,29.80099,5,6,1
GMU,SPACE CENTER HOUSTON,SPACE CENTER HOUSTON,1601 NASA PARKWAY,HOUSTON,TX,77058,HTTP://SPACECENTER.ORG,-95.09878,29.54857,5,6,1
GMU,SPRINGTOWN LEGENDS MUSEUM,SPRINGTOWN LEGENDS MUSEUM,839 N MAIN ST,SPRINGTOWN,TX,76082,NA,-97.68605,32.97767,5,6,3
GMU,TEXAS DPS TROOPERS MUSEUM,TEXAS DPS TROOPERS FOUNDATION INC,621 W SAINT JOHNS AVE,AUSTIN,TX,78752,HTTP://WWW.TXDPSCU.ORG,-97.71469,30.32317,5,6,1
GMU,STATIONMASTERS HOUSE MUSEUM,STATIONMASTERS HOUSE MUSEUM,30 TOWNSEND ST,SPEARMAN,TX,79081,HTTP://TEXASPLAINSTRAIL.COM/PLAN-YOUR-ADVENTURE/HISTORIC-SITES-AND-CITIES/SITES/STATIONMASTERS-HOUSE-MUSEUM,-101.1973,36.1974,5,6,3
GMU,TEX RITTER MUSEUM,TEX RITTER MUSEUM,310 W PANOLA ST,CARTHAGE,TX,75633,NA,-94.34228,32.15692,5,6,3
